GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bff-gateway,com.taxdividend.bff.security,SecurityConfig,107,0,0,0,18,0,6,0,6,0
bff-gateway,com.taxdividend.bff.security,UserContext,12,0,0,0,1,0,1,0,1,0
bff-gateway,com.taxdividend.bff.security,UserProfile,15,0,0,0,1,0,1,0,1,0
bff-gateway,com.taxdividend.bff.service,DividendService.StatementWithDividends,0,12,0,0,0,1,0,1,0,1
bff-gateway,com.taxdividend.bff.service,FormService,146,0,4,0,30,0,10,0,8,0
bff-gateway,com.taxdividend.bff.service,DividendService.ImportResult,0,13,0,0,0,2,0,2,0,2
bff-gateway,com.taxdividend.bff.service,DividendService,29,632,15,35,5,138,16,46,1,36
bff-gateway,com.taxdividend.bff.controller,FormController,141,0,0,0,25,0,19,0,19,0
bff-gateway,com.taxdividend.bff.controller,DividendController,56,0,0,0,11,0,7,0,7,0
bff-gateway,com.taxdividend.bff.mapper,FormMapperImpl,6,59,3,3,3,18,3,4,0,4
bff-gateway,com.taxdividend.bff.mapper,FormMapper,5,0,0,0,1,0,1,0,1,0
bff-gateway,com.taxdividend.bff.mapper,DividendMapper,0,5,0,0,0,1,0,1,0,1
bff-gateway,com.taxdividend.bff.mapper,DividendMapperImpl,2,46,2,4,1,11,2,3,0,2
